"Genes";"Ppol_1";"Ppol_2";"HB27_1";"HB27_2";"mean";"cluster"
"TT_C0001";-0.841;-0.682;-0.831;-0.799;-0.788;"Less Permissive"
"TT_C0002";-0.809;-0.92;-0.553;-0.64;-0.73;"Intermediate"
"TT_C0003";-0.92;-0.92;-0.422;-0.311;-0.643;"Intermediate"
"TT_C0004";-0.279;1.142;-0.49;-0.314;0.015;"Intermediate"
"TT_C0005";1.583;1.542;0.648;1.404;1.294;"Highly Permissive"
"TT_C0006";-0.461;-0.007;-0.574;-0.472;-0.379;"Intermediate"
"TT_C0007";0.408;0.305;0.021;0.883;0.404;"Intermediate"
"TT_C0008";0.004;0.32;-0.66;0.027;-0.077;"Intermediate"
"TT_C0009";3.714;2.224;3.129;2.681;2.937;"Highly Permissive"
"TT_C0010";2.102;1.558;0.96;1.831;1.613;"Highly Permissive"
"TT_C0011";0.06;-0.77;-0.503;-0.758;-0.493;"Intermediate"
"TT_C0012";-0.253;-0.085;-0.607;-0.666;-0.403;"Intermediate"
"TT_C0013";-0.564;-0.92;-0.355;-0.2;-0.51;"Intermediate"
"TT_C0014";-0.92;-0.92;-0.691;-0.503;-0.759;"Intermediate"
"TT_C0015";-0.189;-0.92;-0.359;-0.697;-0.541;"Intermediate"
"TT_C0016";-0.464;-0.92;-0.489;-0.799;-0.668;"Intermediate"
"TT_C0017";-0.596;-0.92;-0.396;-0.446;-0.589;"Intermediate"
"TT_C0018";-0.402;-0.684;-0.777;-0.799;-0.666;"Intermediate"
"TT_C0019";0.35;-0.775;-0.362;-0.698;-0.371;"Intermediate"
"TT_C0020";-0.581;-0.405;-0.45;-0.595;-0.508;"Intermediate"
"TT_C0021";-0.028;-0.848;-0.391;-0.057;-0.331;"Intermediate"
"TT_C0022";-0.692;-0.637;-0.61;-0.799;-0.685;"Less Permissive"
"TT_C0023";-0.233;-0.037;-0.601;-0.435;-0.327;"Intermediate"
"TT_C0024";-0.517;-0.92;-0.66;-0.735;-0.708;"Intermediate"
"TT_C0025";-0.362;-0.485;-0.554;-0.585;-0.497;"Intermediate"
"TT_C0026";-0.622;0.303;-0.595;-0.799;-0.428;"Intermediate"
"TT_C0027";0.029;1.902;-0.522;-0.271;0.284;"Intermediate"
"TT_C0028";0.613;1.125;0.551;0.856;0.786;"Highly Permissive"
"TT_C0029";0.293;-0.124;-0.146;0.074;0.025;"Intermediate"
"TT_C0030";3.734;2.087;2.931;3.273;3.006;"Highly Permissive"
"TT_C0031";-0.374;-0.92;-0.637;-0.68;-0.653;"Intermediate"
"TT_C0032";-0.109;-0.222;-0.636;-0.504;-0.368;"Intermediate"
"TT_C0033";-0.811;-0.596;-0.493;-0.799;-0.675;"Intermediate"
"TT_C0034";0.874;0.776;-0.55;-0.203;0.224;"Intermediate"
"TT_C0035";0.103;-0.139;0.665;0.02;0.162;"Intermediate"
"TT_C0036";-0.518;-0.92;-0.494;-0.417;-0.587;"Intermediate"
"TT_C0037";3.379;-0.051;2.574;2.475;2.094;"Highly Permissive"
"TT_C0038";0.322;-0.865;-0.659;-0.749;-0.488;"Intermediate"
"TT_C0039";2.055;2.262;2.681;2.996;2.499;"Highly Permissive"
"TT_C0040";1.352;2.337;1.702;2.992;2.096;"Highly Permissive"
"TT_C0041";-0.317;-0.215;-0.557;-0.451;-0.385;"Intermediate"
"TT_C0042";0.464;-0.211;-0.619;1.107;0.185;"Intermediate"
"TT_C0043";0.635;0.163;0.403;2.129;0.833;"Highly Permissive"
"TT_C0044";0.627;0.94;1.837;2.167;1.393;"Highly Permissive"
"TT_C0045";2.247;1.333;2.774;2.082;2.109;"Highly Permissive"
"TT_C0046";0.425;0.482;-0.451;0.556;0.253;"Intermediate"
"TT_C0047";-0.495;-0.882;-0.524;-0.765;-0.666;"Intermediate"
"TT_C0048";-0.212;0.584;-0.069;0.433;0.184;"Intermediate"
"TT_C0049";-0.55;-0.467;0.528;0.033;-0.114;"Intermediate"
"TT_C0050";-0.92;-0.92;-0.685;-0.663;-0.797;"Less Permissive"
"TT_C0051";-0.186;-0.426;0.174;0.352;-0.021;"Intermediate"
"TT_C0052";-0.584;-0.753;-0.448;-0.746;-0.633;"Intermediate"
"TT_C0053";0.117;0.328;0.746;0.58;0.443;"Intermediate"
"TT_C0054";0.672;0.135;1.084;0.801;0.673;"Highly Permissive"
"TT_C0055";-0.744;-0.92;-0.348;-0.764;-0.694;"Intermediate"
"TT_C0056";-0.656;-0.92;-0.491;-0.667;-0.684;"Intermediate"
"TT_C0057";3.143;0.694;2.324;2.953;2.279;"Highly Permissive"
"TT_C0058";-0.584;0.099;-0.644;-0.535;-0.416;"Intermediate"
"TT_C0059";-0.782;0.696;-0.528;-0.799;-0.353;"Intermediate"
"TT_C0060";3.588;3.299;3.598;3.346;3.458;"Highly Permissive"
"TT_C0061";-0.64;-0.826;-0.291;-0.593;-0.587;"Intermediate"
"TT_C0062";-0.583;-0.92;-0.584;-0.674;-0.69;"Intermediate"
"TT_C0063";2.535;1.389;2.55;2.184;2.164;"Highly Permissive"
"TT_C0064";-0.382;-0.901;-0.214;-0.65;-0.537;"Intermediate"
"TT_C0065";-0.571;-0.92;-0.845;-0.799;-0.784;"Intermediate"
"TT_C0066";-0.244;0.601;0.024;0.939;0.33;"Intermediate"
"TT_C0067";0.201;-0.92;-0.579;-0.799;-0.524;"Intermediate"
"TT_C0068";-0.025;-0.92;-0.553;-0.69;-0.547;"Intermediate"
"TT_C0069";-0.92;1.377;-0.549;-0.527;-0.155;"Intermediate"
"TT_C0070";0.289;1.381;0.258;0.397;0.581;"Intermediate"
"TT_C0071";-0.397;-0.92;-0.538;-0.422;-0.569;"Intermediate"
"TT_C0072";0.28;0.87;0.732;1.133;0.754;"Highly Permissive"
"TT_C0073";-0.033;0.241;0.421;0.642;0.318;"Intermediate"
"TT_C0074";-0.023;0.797;0.656;2.165;0.899;"Highly Permissive"
"TT_C0075";-0.578;0.247;-0.532;-0.74;-0.401;"Intermediate"
"TT_C0076";-0.75;-0.92;-0.319;-0.799;-0.697;"Intermediate"
"TT_C0077";0.832;1.448;1.804;1.481;1.391;"Highly Permissive"
"TT_C0078";-0.331;-0.336;-0.043;-0.258;-0.242;"Intermediate"
"TT_C0079";0.58;0.743;0.875;0.991;0.797;"Highly Permissive"
"TT_C0080";-0.562;-0.828;-0.436;-0.534;-0.59;"Intermediate"
"TT_C0081";-0.624;-0.92;-0.528;-0.482;-0.638;"Intermediate"
"TT_C0082";-0.646;-0.384;-0.34;-0.578;-0.487;"Intermediate"
"TT_C0083";-0.298;-0.379;-0.222;0.268;-0.158;"Intermediate"
"TT_C0084";-0.749;-0.61;-0.668;-0.765;-0.698;"Less Permissive"
"TT_C0085";-0.32;-0.786;0.514;0.883;0.073;"Intermediate"
"TT_C0086";0.102;0.679;-0.778;0.554;0.139;"Intermediate"
"TT_C0087";-0.214;-0.731;-0.234;-0.326;-0.376;"Intermediate"
"TT_C0088";1.185;1.476;2.71;2.324;1.924;"Highly Permissive"
"TT_C0089";-0.226;-0.011;-0.359;-0.277;-0.218;"Intermediate"
"TT_C0090";0.87;1.137;1.659;1.663;1.332;"Highly Permissive"
"TT_C0091";-0.622;-0.039;-0.57;-0.737;-0.492;"Intermediate"
"TT_C0092";-0.247;-0.92;-0.64;-0.626;-0.608;"Intermediate"
"TT_C0093";-0.92;-0.92;-0.845;-0.799;-0.871;"Less Permissive"
"TT_C0094";0.214;-0.721;-0.603;-0.705;-0.454;"Intermediate"
"TT_C0095";-0.92;0.235;-0.845;-0.799;-0.583;"Intermediate"
"TT_C0096";0.067;1.736;1.208;1.457;1.117;"Highly Permissive"
"TT_C0097";-0.606;-0.92;-0.358;-0.462;-0.586;"Intermediate"
"TT_C0098";0.42;0.999;0.295;1.075;0.697;"Highly Permissive"
"TT_C0099";0.354;0.514;0.513;-0.203;0.295;"Intermediate"
"TT_C0100";-0.114;-0.099;-0.192;-0.294;-0.175;"Intermediate"
"TT_C0101";-0.532;-0.643;-0.411;-0.522;-0.527;"Intermediate"
"TT_C0102";0.649;1.498;0.306;0.576;0.757;"Highly Permissive"
"TT_C0103";1.719;1.841;1.746;1.709;1.754;"Highly Permissive"
"TT_C0104";2.028;0.445;1.459;0.954;1.221;"Highly Permissive"
"TT_C0105";-0.92;2.698;-0.315;-0.673;0.197;"Intermediate"
"TT_C0106";-0.063;1.515;0.697;0.582;0.683;"Highly Permissive"
"TT_C0107";-0.477;-0.188;-0.505;-0.615;-0.446;"Intermediate"
"TT_C0108";-0.49;-0.92;-0.245;-0.799;-0.614;"Intermediate"
"TT_C0109";-0.123;0.386;-0.546;-0.732;-0.254;"Intermediate"
"TT_C0110";-0.074;0.454;-0.076;0.07;0.094;"Intermediate"
"TT_C0111";-0.381;-0.216;-0.129;0.101;-0.156;"Intermediate"
"TT_C0112";0.704;2.024;1.711;2.388;1.707;"Highly Permissive"
"TT_C0113";-0.707;-0.596;-0.769;-0.447;-0.63;"Intermediate"
"TT_C0114";-0.03;-0.92;-0.78;-0.691;-0.605;"Intermediate"
"TT_C0115";-0.113;0.904;-0.042;0.411;0.29;"Intermediate"
"TT_C0116";-0.92;-0.871;-0.569;-0.71;-0.768;"Intermediate"
"TT_C0117";-0.261;-0.5;-0.435;-0.593;-0.447;"Intermediate"
"TT_C0118";-0.654;-0.92;-0.845;-0.495;-0.728;"Intermediate"
"TT_C0119";-0.92;-0.92;-0.745;-0.799;-0.846;"Less Permissive"
"TT_C0120";-0.461;0.145;-0.062;-0.52;-0.224;"Intermediate"
"TT_C0121";-0.342;-0.416;0.235;-0.037;-0.14;"Intermediate"
"TT_C0122";-0.92;-0.92;-0.694;-0.612;-0.787;"Less Permissive"
"TT_C0123";1.943;-0.307;0.045;0.041;0.431;"Intermediate"
"TT_C0124";-0.56;-0.897;-0.485;-0.658;-0.65;"Intermediate"
"TT_C0125";-0.811;-0.92;-0.558;-0.673;-0.74;"Intermediate"
"TT_C0126";0.091;-0.92;-0.384;-0.703;-0.479;"Intermediate"
"TT_C0127";1.273;1.077;1.052;0.869;1.068;"Highly Permissive"
"TT_C0128";0.745;1.734;0.545;1.129;1.038;"Highly Permissive"
"TT_C0129";1.261;1.997;1.906;2.332;1.874;"Highly Permissive"
"TT_C0130";-0.385;-0.799;-0.29;-0.459;-0.483;"Intermediate"
"TT_C0131";-0.579;0.074;-0.479;-0.54;-0.381;"Intermediate"
"TT_C0132";-0.24;-0.88;-0.823;-0.799;-0.686;"Intermediate"
"TT_C0133";0.093;0.254;0.324;0.528;0.3;"Intermediate"
"TT_C0134";-0.92;-0.071;-0.586;-0.723;-0.575;"Intermediate"
"TT_C0135";-0.197;-0.92;-0.596;-0.69;-0.601;"Intermediate"
"TT_C0136";0.86;2.211;1.239;1.791;1.525;"Highly Permissive"
"TT_C0137";0.663;0.437;0.968;0.765;0.709;"Highly Permissive"
"TT_C0138";-0.383;-0.92;-0.755;-0.748;-0.701;"Intermediate"
"TT_C0139";0.679;-0.65;0.197;0.179;0.101;"Intermediate"
"TT_C0140";0.228;-0.92;-0.441;-0.799;-0.483;"Intermediate"
"TT_C0141";-0.92;-0.868;-0.44;-0.706;-0.734;"Intermediate"
"TT_C0142";-0.572;-0.92;-0.677;-0.691;-0.715;"Intermediate"
"TT_C0143";-0.018;-0.305;-0.617;-0.547;-0.372;"Intermediate"
"TT_C0144";-0.531;-0.78;-0.553;-0.405;-0.567;"Intermediate"
"TT_C0145";-0.055;0.362;-0.747;-0.329;-0.192;"Intermediate"
"TT_C0146";-0.92;-0.92;-0.845;-0.799;-0.871;"Less Permissive"
"TT_C0147";0.512;1.203;1.004;1.257;0.994;"Highly Permissive"
"TT_C0148";-0.442;0.886;-0.626;-0.409;-0.148;"Intermediate"
"TT_C0149";-0.704;-0.92;-0.395;-0.671;-0.672;"Intermediate"
"TT_C0150";0.082;0.62;1.087;0.212;0.5;"Intermediate"
"TT_C0151";0.544;0.075;1.168;0.262;0.512;"Intermediate"
"TT_C0152";0.378;-0.92;-0.558;-0.434;-0.383;"Intermediate"
"TT_C0153";-0.651;0.32;-0.655;-0.701;-0.422;"Intermediate"
"TT_C0154";-0.091;0.638;0.193;0.657;0.349;"Intermediate"
"TT_C0155";-0.571;-0.836;-0.546;-0.579;-0.633;"Intermediate"
"TT_C0156";-0.017;0.057;0.039;-0.41;-0.083;"Intermediate"
"TT_C0157";-0.247;-0.873;-0.026;-0.756;-0.476;"Intermediate"
"TT_C0158";-0.625;0.061;-0.489;-0.575;-0.407;"Intermediate"
"TT_C0159";-0.518;-0.92;-0.559;-0.77;-0.692;"Intermediate"
"TT_C0160";-0.678;-0.866;-0.595;-0.799;-0.734;"Intermediate"
"TT_C0161";-0.92;-0.92;-0.845;-0.799;-0.871;"Less Permissive"
"TT_C0162";1.628;2.294;1.676;2.03;1.907;"Highly Permissive"
"TT_C0163";-0.494;-0.92;-0.703;-0.65;-0.692;"Intermediate"
"TT_C0164";-0.188;0.09;-0.459;-0.538;-0.274;"Intermediate"
"TT_C0165";-0.382;0.455;0.814;1.215;0.526;"Intermediate"
"TT_C0166";-0.601;-0.732;-0.355;-0.779;-0.617;"Intermediate"
"TT_C0167";-0.843;-0.92;-0.235;-0.546;-0.636;"Intermediate"
"TT_C0168";-0.592;-0.891;-0.559;-0.673;-0.679;"Intermediate"
"TT_C0169";-0.318;-0.888;-0.583;-0.741;-0.632;"Intermediate"
"TT_C0170";1.619;1.005;1.64;1.892;1.539;"Highly Permissive"
"TT_C0171";-0.264;-0.023;-0.414;-0.356;-0.264;"Intermediate"
"TT_C0172";-0.637;0.104;-0.36;-0.456;-0.337;"Intermediate"
"TT_C0173";-0.661;-0.286;-0.366;-0.226;-0.385;"Intermediate"
"TT_C0174";0.01;1.154;0.093;0.022;0.32;"Intermediate"
"TT_C0175";1.504;0.96;1.602;1.622;1.422;"Highly Permissive"
"TT_C0176";-0.92;-0.92;-0.495;-0.174;-0.627;"Intermediate"
